질병명,식사요법의 필요성,식사요법의 실제,권장 식품,주의 식품,그 외 주의사항
구루병식,"비타민 D 섭취 부족으로 생기는 질병으로 정상적인 칼슘의 축적이 부족하여 골 형성 시 위험을 초래할 수 있어 적절한 영양관리가 필요합니다. 특히, 특히 영유아에서 자주 볼 수 있습니다.","1. 비타민 D가 많은 식품을 섭취합니다. (등푸른 생선, 연어, 쥐치, 가자미, 광어, 목이버섯, 표고버섯 등)2. 칼슘이 많은 식품을 섭취합니다. (멸치, 말린 새우, 미꾸라지, 콩, 두부, 우유 등)3. 잡곡, 두류 및 두부 , 생선, 녹황색 채소를 자주 섭취합니다.4. 햇빛을 자주 보도록 합니다.5. 카페인 섭취를 줄입니다.","우유, 요구르트, 치즈, 두부, 새우, 정어리, 연어, 녹색콩류, 시금치, 브로콜리, 콩, 두부, 멸치, 다시마, 미역, 표고버섯, 등푸른 생선 등","카페인(커피, 콜라, 초콜릿), 주류(소주, 맥주, 막걸리 등)","유당 불내증이 있거나, 유제품을 전혀 안먹거나, 완전 채식만 하는 사람들은 반드시 영양관리가 필요합니다."
골다공증식,"골다공증 환자와 골다공증으로 진행될 위험이  높은 환자에게 식사 중 칼슘 섭취량을 1일 1,000mg 이상으로 증가시키기 위한 식사 입니다","1. 균형있는 식사를 합니다.2. 칼슘이 많은 식품을 먹습니다.3. 과도한 알코올 섭취를 금합니다.4. 짠 음식을 피하고 음식의 간을 심심하게 합니다.5. 커피, 탄산음료의 과다한 섭취를 피합니다.6. 담배를 끊습니다.7. 적당한 운동을 규칙적으로 합니다.","- 우유 및 유제품 (발효유, 치이즈, 아이스크림)- 두류 (콩, 두부 등) 및 해조류(미역, 다시마, 김)- 뼈째먹는 생선 (멸치, 뱅어포 등) , 생선류 (동태, 홍어, 참치, 참게, 대하 등) 및 통조림류 (꽁치, 정어리)- 칼슘 강화 식품 (고칼슘우유, 칼슘강화 오렌지 주스나 씨리얼)- 비타민 D 함유식품 (난황, 버터, 기름이 많은 생선, 생선유, 버섯)","- 카페인음료(커피, 홍차등), 탄산음료(사이다, 콜라등)- 술(하루 소주 3잔이상)- 뼈를 우려낸 탕국 (곰국, 설렁탕등)의 장기간 섭취- 지나친 동물성 단백질의 섭취","칼슘 보충제는 우유나 요쿠르트와 함께 복용하는 것이 좋으며, 식사와 식사 사이에 복용하도록 합니다칼슘 보충제는 식품보다 변비를 유발하기 쉬우므로 야채, 과일, 해조류는 물론 수분을 충분히 섭취하는 것이 좋습니다."
고혈압식 / 폐성 고혈압식,"체중 조절을 위해 저지방, 저칼로리식을 고려하고, 염분을 제한함으로써 부종과 복수가 생기는 것을 방지하거나 혈압을 조절합니다.","1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식을 합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취하는 것이 좋습니다.2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 피하는 것이 좋습니다.4. 간식은 정규 식사 사이에 제철 과일과 저지방우유로 섭취하는 것이 좋습니다.5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)은 사용하여도 좋습니다.6. 또한 염분량은 소금을 기준으로 1일 3g만 추가하도록 합니다.7. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다.","신선한 채소를 비롯한 잡곡, 어육류, 생선, 두부, 견과류 그리고 제철 과일과 우유 등 균형잡힌 식사","염장 식품 : 김치류, 젓갈류, 장아찌류, 건어물 및 자반 생선류 등가공식품 : 햄류, 통조림류, 라면 등국물류 : 국, 찌개 등",
고칼슘혈증식,혈중 칼슘치를 정상으로 유지하고 소변으로 나오는 칼슘량을 최소한으로 줄이기 위하여 1일 칼슘 섭취를 400~600mg정도로 제한하기 위한 식사입니다,"1. 편식하지 않고 골고루 섭취합니다2. 칼슘이 많이 함유된 식품을 제한합니다.3. 짠 음식을 피하고 음식의 간을 싱겁게 조리합니다.4. 계란이나 고기, 생선류 등 단백질 식품을 과다하게 섭취하지 않습니다.5. 단순당의 섭취를 제한합니다.6. 수분을 충분히 섭취합니다.","흰밥, 국수, 식빵, 감자쇠고기, 돼지고기, 닭고기, 계란, 전복, 홍합호박,무우, 배추, 콩나물, 숙주, 양파등모든과일 (건무화과 제외)샤베트, 두유식용유, 잣","녹두, 율무, 팥뼈째먹는 생선(잔멸피, 뱅어포, 양미리, 미꾸라지 등) 고등어 통조림,  대두, 유부, 대합조개두부류고춧잎, 무청, 돌나물, 미역, 무우말랭이, 고사리, 상추, 근대, 미나리, 우거지, 토란대건무화과우유 및 유제품아몬드, 참깨, 호두, 흑설탕, 로얄젤리, 물엿",수유부나 폐경기 여성에게서는 칼슘을 제한하지 않고 1200~1500mg 섭취합니다.소변량을 최소 1일 2L이상 유지위해 1일 3L의 수분이 필요하며 50%는 물로 섭취합니다소변으로 배설되는 칼슘을 줄이기 위해 지나친 염분 섭취는 제한합니다.
고지혈증식,"포화지방산과 콜레스테롤의 과잉 섭취, 칼로리 섭취와 소모의 불균형, 당질의 과잉 섭취 및 섬유소 섭취 부족 그리고 알코올의 과잉 섭취 등이 혈청 지질에 영향을 미치므로 혈중 콜레스테롤이나 포화 지방산 농도를 감소시키고 당질 제공량은 총 열량의 60% 이하로 제한합니다.","1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식을 합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취하는 것이 좋습니다.2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 피하는 것이 좋습니다.4. 간식은 정규 식사 사이에 제철 과일과 저지방우유로 섭취하는 것이 좋습니다.5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치기 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)은 사용하여도 좋습니다.","신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사","고지방 어육류 : 갈비, 삼겹살, 육류의 껍질과 기름, 장어, 햄류 등고콜레스테롤 식품 : 내장류, 새우, 오징어, 계란노른자 등기름진 음식 : 탕류, 중국음식, 튀김류, 전류 등염장 식품 : 김치류, 젓갈류, 장아찌류, 건어물 및 자반 생선류 등가공식품 : 햄류, 통조림류, 라면 등국물류 : 국, 찌개 등",
고마그네슘혈증식,"고마그네슘혈증은 허약, 구역질과 함께 불쾌감을 일으키고 호흡이 느려지고 혼수상태가 되며 심하면 사망에 이를 수 있습니다. 따라서 정상범위의 수준을 조절하기 위해 고마그네슘혈증 시에는 마그네슘 섭취를 최대한 줄이는 식사를 합니다.","1. 균형잡힌 식사를 합니다.2. 마그네슘이 풍부한 코코아, 견과류, 대두 등을 피합니다.3. 전곡류 대신 도정된 곡류를 이용합니다.4. 과다한 유제품 섭취를 피합니다.","백미 등의 도정된 곡류, 고기, 생선 등의 양질의 단백질식품","코코아, 아몬드, 땅콩, 호두, 잣, 대두, 보리, 현미, 통밀, 우유, 계란, 시금치, 무청, 근대, 컬리플라워, 브로컬리, 부추 당근 등",신장이 일차적으로 혈액내 마그네슘 수준을 조절하기 때문에 고마그네슘혈증은 신장기능의 이상과 밀접한 관계가 있습니다.  따라서 고칼륨혈증이 있는 경우에는 마그네슘의 함량이 낮은 식품이라 하더라도 칼륨함량이 높을 수 있으므로 주의를 요합니다.
결핵식,체중감소와 체조직 소모를 방지하지 위하여 충분한 식사량의 유지 및 어육류나 두부 계란을 통한 단백질 식품의 섭취가 병행 되어야 합니다.,"1. 평소 체중을 유지하기 위하여 규칙적으로 식사하도록 합니다.2. 매끼 양질의 어육류나 두부, 계란등을 통한 단백질 섭취를 규칙적으로 합니다.3. 수분섭취는 충분히 하도록 합니다.4. 결핵에 대한 저항력을 기르기 위해 한국인 영양요구량 수준의 비타민 보충을 합니다.","양질의 살코기, 생선살, 두부, 계란","민간요법, 건강보조식품",흡연으로 인한 기관지염 등은 추가적인 세균감염의 가능성이 있으므로 금연하도록 합니다.
갑상선암식,"갑상선암 환자는 정상인과 마찬가지로 특별히 주의해야 할 음식은 없습니다.일반적으로 수술 전/후 일반적인 균형잡힌 식사를 유지합니다. 단, 수술 후 부갑상선 기능저하증이 발생하여 칼슘 수치가 떨어진 경우와 갑상선암 수술 후 방사성 동위원소 치료를 할 경우 요오드 섭취를 제한할 필요가 있습니다.","1. 수술전/후 특별한 지시사항이 없다면 균형잡힌 식사를 유지합니다.- 하루 세끼 규칙적으로 섭취하고 반찬을 골고루 먹습니다.- 곡류, 어육류, 채소류, 과일류, 유제품, 지방 섭취를 골고루 합니다.- 채소반찬은 매끼 두가지 이상 충분히 먹습니다.- 과일은 하루 1~2회정도 섭취합니다.- 양념과 조미료 사용은 적당히 사용하며 너무 맵고 짜지 않게 합니다.2. 부갑상선 기능 저하증이 발생하여 칼슘수치가 떨어진 경우에는 칼슘이 많이 들어가 있는 음식을 섭취합니다.- 우유 치즈와 같은 유제품, 뼈째 먹는 생선, 두부류 권장3. 갑상선암 수술 후 방사성 동위원소 치료를 할 경우 치료 전 2주간 저요오드식을 시행합니다.- 해산물,유제품,달걀 등 요오드가 다량 함유된 식품을 피합니다.- 허용된 육류의 경우 하루섭취량을 150g 미만으로 분량을 조절합니다.- 음식은 무요오드 소금, 정제염, 맛소금 등으로 사용하여 조리하고 천일염과 호염은 사용하지 않습니다.- 가공식품 섭취를 제한하고 가능한 간식은 직접 만들어 먹습니다.","특별히 권장되는 식품은 없으므로 일반적인 항암식품 섭취가 권장됨- 잡곡류, 콩, 생선류, 브로콜리, 파프리카, 버섯, 토마토, 키위와 같은 다양한 색깔을 지닌 채소 및 과일류, 견과류 등..","일반적으로 주의식품은 필요없으나 갑상선암으로 방사성 동위원소 치료를 받을 경우 아래와 같은 요오드 함량이 높은 식품은 제한해야합니다.- 천일염, 어패류 및 해산물(생선,조개,굴,멸치 등), 해조류(미역,김,다시마,파래 등), 계란, 천일염으로 담근 김치, 다시다, 집에서 담근 장류, 우유, 치즈, 아이스크림, 마요네즈, 아몬드",치료여부 및 기간에 따라 식사조절 방법이 다르므로 치료에 맞는 식사요법을 택해 실천합니다.
갑상선기능항진증,갑상선기능항진증은 대사 증가로 체중감소 및 음성 질소 균형과 근육손실을 초래할 수 있습니다. 이를 방지하기 위하여 충분한 열량과 단백질 공급이 필요합니다.,"1. 적정체중 유지를 위하여 충분한 열량 및 단백질을 섭취합니다.2. 과도한 땀과 설사로 인한 탈수를 예방을 위해 수분을 충분히 섭취합니다.(3~4L/d)3. 식욕저하 시 식사를 소량씩 자주 섭취하고 간식을 이용합니다.4. 식사량이 적을 경우 영양음료를 이용하여 보충하도록 합니다.5. 카페인, 알코올 등 자극적인 식품의 섭취를 피합니다","- 곡류 및 전분류 (쌀밥, 전곡, 잡곡밥, 국수, 떡, 식빵, 씨리얼, 감자, 고구마, 밤 등)- 채소 및 과일류 (채소, 김치  미역, 다시마, 버섯, 토마토, 딸기, 주스 등 )- 고기, 생선, 달걀 및 콩류 (쇠고기, 돼지고기, 닭고기, 생선, 달걀, 두부, 콩 등)- 우유 및 유제품 (우유, 요쿠르트, 치즈, 아이스크림)","- 카페인 음료, 술- 지방 함량이 높아 소화가 잘 안되는 음식","혈당 조절이 안될 경우에는 단순당의 섭취를 제한하고 당뇨 식사 관리에 준하여 섭취합니다.갑상선기능항진증에는 식사 중 요오드 섭취를 제한하지 않습니다. 단, 방사성 요오드 치료 시에는 치료 시작 2주 전부터 저요오드식을 시행합니다"
갑상선기능저하증,"갑상선기능저하증은 체중증가, 변비, 혈중 콜레스테롤 상승, 철결핍성 빈혈 등의 증상을 동반할 수 있습니다. 이들 증상을 교정하고  균형잡힌 식사를 하도록 합니다.","1. 매끼 골고루 섭취하여 균형적인 식사를 합니다.2. 정상체중을 유지하도록 합니다.3. 변비가 있을경우 고섬유소 식사(채소, 과일, 해조류 및 전곡류, 콩류 등) 와 함께 수분을 충분히 섭취합니다.4. 혈중 콜레스테롤 수치가 증가한 경우 육류 및 생선의 내장이나 오징어, 미꾸라지, 장어, 계란노른자 등 콜레스테롤 함량이 높은 식품은 주1회 정도 섭취로 줄입니다.5. 철결핍성 빈혈이 있을 경우 철분 함량이 높은 식품(간, 굴, 생선, 육류, 계란노른자 등)을 섭취합니다","- 곡류 및 전분류 (쌀밥, 전곡, 잡곡밥, 국수, 떡, 식빵, 씨리얼, 감자, 고구마, 밤 등)- 채소 및 과일류 (채소, 김치  미역, 다시마, 버섯, 토마토, 딸기, 주스 등 )- 고기, 생선, 달걀 및 콩류 (쇠고기, 돼지고기, 닭고기, 생선, 달걀, 두부, 콩 등)- 우유 및 유제품 (우유, 요쿠르트, 치즈, 아이스크림)","균형잡힌 식사 시 체내 필요한 충분한 양의 요오드를 함유하고 있으므로 요오드 성분을 지나치게 많이 섭취하지 않습니다. 예를 들어 많은 양의 다시마를 갈아서 먹거나 , 달여서 차로 마시지 않습니다.","요오드가 부족하거나 지나치게 많이 섭취하는 것은 갑상선 기능에 좋지 않은 영향을 줍니다. 성인의 1일 권장섭취량은 150㎍이며, 요오드는 해조류, 어패류, 요오드염 등에 많이 함유되어 있습니다."
뇌졸중식,"뇌졸중으로 인해 삼킴곤란이 발생한 경우는 흡인성 폐렴 등의 합병증을 일으킬 수 있습니다. 안전하게 삼키기 위해서는 적절한 식사 형태의 변형, 식사 자세의 교육이 필요합니다.","1. 구강 식사만으로 충분한 영양분과 수분섭취가 어려우면 비위관 및 위루관을 통한 위관영양을 전문가 관찰 하에 시행할 수 있습니다.2. 4주 미만의 위관영양이 필요한 경우에는 비위관 영양요법을, 4주 이상 위관 영양이 필요한 경우는 위루관을 권장합니다.3. 경구로 식사가 가능한 경우는 식사의 점도, 질감을 조절하여 액체 형태보다 걸쭉한 형태(꿀농도, 넥타 농도 등)의 식사를 합니다.","1. 물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취할 수 있습니다.2. 삼킴 장애가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다.  반찬(고기, 생선살 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다.3. 우유 대신 요거트를 권장합니다.","삼킴곤란 시 물, 주스, 우유 등 액체 형태의 식품 섭취는 주의가 필요합니다.","1. 삼킴곤란 시는 흐르는 액체 형태의 물, 주스, 우유등은 기도로의 흡인의 가능성이 있으므로 사래나 기침 등의 증상이 있는 경우 정확한 의료진의 진단이 필요합니다.2. 식사 섭취 시 작은 숟가락을 사용합니다.3. 베개로 등뒤와 옆구리를 받치거나 의자에 허리를 펴고 앉아 턱은 약간 아래로 향하도록 하여 식사합니다.4. 보호자의 관찰 하에 식사합니다.5. 탈수를 방지하기위해 점도증진제를 적절히 이용하여 수분 섭취를 합니다."
뇌경색식,"뇌경색 환자의 경우 음식을 먹고 마실 때 기침, 사래가 걸리거나 계속 입에 음식을 물고 있는 등의 어려움이 있을 때는 삼킴곤란(연하장애)이 있는지 전문가의 정확한 진단이 필요합니다. 삼킴곤란이 진단된 경우는 기도로의 흡인이 일어날 수 있으므로 안전한 삼킴을 위해서는 적절한 식사형태의 조절, 식사 자세의 교육이 필요합니다.","1. 구강식사로 충분한 양의 영양과 수분섭취가 불가하면 비위관 및 위루관을 통한 위관영양을 전문가 관찰하에 시행합니다. 이 때에는 의료진의 진료가 필요합니다.2. 4주 미만의 위관식사가 필요한 경우는 비위관으로, 4주이상 식사가 필요한 경우는 위루관을 권장합니다.3. 경구로 식사가 가능한 경우는 식사의 점도, 질감을 조절하여 액체형태보다 걸쭉한 형태(꿀농도, 넥타농도 등)의 식사를 합니다.","1. 물, 주스, 우유 등 액상 형태의 대부분의 식품은 '점도증진제(음식의 점도 조절용)'를 섞어서 섭취할 수 있습니다.2. 삼킨 장애가 심하고 씹지 못 할 때는 밥보다는 죽을 쑤어 블렌더로 곱게 갈아 꿀농도만큼 걸쭉하게 드시길 권장합니다. 반찬(고기, 생선살, 나물 등)도 익힌 후 죽을 함께 넣고 블렌더로 곱게 갈아 걸쭉하게 드실 수 있습니다.3. 우유대신 걸쭉한 요거트를 권장합니다.","삼킴곤란 시 물, 주스, 우유 등 액체형태의 식품 섭취는 주의가 필요합니다.","1. 삼킴곤란 시는 흐르는 액체 형태의 물, 주스, 우유등은 기도로의 흡인의 가능성이 있으므로 사래나 기침 등의 증상이 있는 경우 정확한 의료진의 진단이 필요합니다.2. 식사 섭취 시 작은 숟가락을 사용합니다.3. 베개로 등뒤와 옆구리를 받치거나 의자에 허리를 펴고 앉아 턱은 약간 아래로 향하도록 하여 식사합니다.4. 보호자의 관찰 하에 식사합니다.5. 탈수를 방지하기위해 점도증진제를 적절히 이용하여 수분 섭취를 합니다.6. 고혈압이 있는 경우 젓갈, 장아찌, 자반 등 염장식품은 피합니다.7. 당뇨가 있는 경우 규칙적인 식사를 하고 간식은 되도록 피합니다."
노인식,노인들은 노화로 인한 여러 가지 생리기능의 변화와 만성질환으로 인한 식욕부진으로 영양결핍증이 초래될 위험도가 높으므로 적절한 영양상태와 건강 유지를 위해 필요합니다.,"1. 다양한 식품을 골라 균형식을 섭취합니다. 다섯 가지 기초 식품을 중심으로 하루 30가지 이상의 식품을 먹습니다.2. 양질의 단백질을 알맞게 섭취합니다. 고기나 생선, 계란, 콩과 콩제품 등 양질의 단백질을 매일 먹습니다.3. 지방과 기름은 적당히 먹습니다.  지방과 기름은 하루에 5~8티스품 정도로 섭취하는 것이 좋습니다.  특히 트랜스지방은 하루 섭취열량 중 1%를 넘지 않도록 합니다.4. 채소와 과일은 매일 섭취합니다.  다양한 채소 반찬과 제철 과일을 매일 먹습니다.5. 칼슘과 철분을 충분히 섭취합니다.6. 짠 음식은 피하고 싱겁게 먹습니다.  노인은 미각이 감퇴하여 짜게 먹는 경향이 있으므로 소금(염분) 이외에 다른 향신료를 이용하여 음식 맛을 내어 싱겁게 먹도록 하여야 합니다. 장아찌, 젓갈과 같은 짠 음식은 피합니다.7. 술을 절제하고 물을 충분히 마십니다.8. 세 끼 식사를 규칙적으로 알맞게 먹으며 과식을 피해야 합니다. 하루 1~2컵의 우유 또는 두유를 간식으로 먹습니다.9. 음식은 먹을 만큼 준비하고, 오래된 것을 먹지 않도록 합니다.10. 적당한 운동으로 식욕과 적정 체중을 유지합니다.",골고루 섭취,"술, 젓갈, 장아찌","1. 연하곤란이나 씹는데 문제가 있는 노인은 먹는 능력이 떨어져 섭취량이 부족하므로 고영양식을 해야 합니다.2. 음식의 크기와 모양은 작은 크기로 하며 씹기 힘든 육류나 섬유질이 많은 과일, 채소 섭취가 어려우면 흰살 생선이나 섬유질이 적은 부드러운 과일, 채소를 사용합니다.3. 음식을 다지거나 갈아서 부드럽게 하고 자극적이지 않게 조리합니다."
급성췌장염식,"췌장염 시 복통, 메스꺼움 , 설사 등의 증상으로 초기 섭취가 불량하여 체중감소가 발생할 수 있으며, 이를 예방하기 위해 적절한 식사요법이 필요합니다.","1. 경미한 상태의 급성 췌장염 환자는 처음 2~5일간의 금식이 필요합니다.2. 증상이 가라앉으면 소량의 맑은 미음식사로 시작하여 차츰 미음, 연식으로 진행합니다.3. 일반식으로 진행하면서 저지방 식품을 선택하여 섭취합니다.4. 중증도가 높은 급성 췌장염 환자는 의료진의 처방에 따라서 정맥영양 또는 경장영양이 필요할 수 있습니다.","기름기 적은 살코기(돼지고기, 소고기), 닭고기(껍질 제거), 생선, 두부, 각종 야채 등","도넛, 볶음밥, 라면, 케잌, 페스츄리, 갈비, 삼겹살, 기름이 많은 등심, 안심, 생선통조림, 장어, 튀김류, 전류 등","음주, 흡연은 췌장효소의 분비를 촉진시켜 췌장을 자극하므로 삼가도록 합니다."
급성신부전식,"심한 탈수, 쇼크, 심부전, 신장질환, 요로결석, 종양 등의 원인으로 갑자기 신기능이 떨어진 상태로 몸안의 노폐물을 배출하는데 문제가 생긴 상태입니다. 원인질환의 치료라기보다 오심, 구토 등으로 음식을 잘 먹지 못해 영양부족이 유발될 수 있고, 부종, 고혈압, 요독증을 교정하기 위해 보존적 치료법으로서 염분, 수분, 단백질, 무기질 등의 섭취량 조절이 일시적으로 필요합니다.","1. 증상 완화를 위해 응급으로 투석(복막, 혈액)을 하는 경우, 투석시 식사요법을 시행합니다.2. 충분한 열량을 섭취합니다.3. 싱겁게 먹습니다.4. 필요시 수분 섭취를 줄입니다.5. 인, 칼륨(포타슘)은 혈중 수치에 따라 섭취량을 조절합니다.6. 단백질 섭취를 제한합니다. 체중 1kg당 0.5g~0.8g정도 섭취합니다.","1. 고기, 생선, 두부, 계란 등 단백질이 많은 식품은 한 끼니당 1토막(40~60g)정도만 섭취합니다.2. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다.3. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용해보십시오.","1. 염분이 과다한 식품; 염장식품(장아찌, 젓갈), 김치, 라면, 건어물, 찌개국물 등2. 단백질이 과다한 건강기능식품, 콩가루 등","기도삽관이나 수술 후 장페색이 있는 경우는 음식 및 수분의 경구섭취가 불가할 수 있습니다. 고포타슘혈증, 폐부종, 요독증, 심부전 등이 치료되지 않을 경우는 매일 혹은 일정기간마다 투석을 해야 할수 있으며, 영양상태에 따라 단백질 등 영양 섭취량을 달리해야 합니다."
급성골수성백혈병식,골수 이식 직후에는 감염을 예방하기 위하여 익힌음식 위주로 섭취하며 빠른 회복을 도모하기 위해 균형잡힌 고른 식품섭취를 하도록 합니다.,"1. 곡류, 어육류, 채소류, 과일류, 우유류를 고루 섭취합니다.2. 식사량이 부족한 경우 의사의 처방에 의해 관급식이나 정맥영양제를 통해 영양보충을 계획할 수 있습니다.3. 식사량이 부족하면 간식으로 포함하여 소량씩 자주 섭취합니다.4. 매끼 양질의 어육류나 두부, 계란 등을 섭취합니다.5. 고기나 생선은 반드시 익혀서 섭취하도록 합니다.","잘 익힌 생선이나 살코기, 잘 씻은 채소, 껍질 벗긴 과일","익히지 않은 생선이나 고기, 생선회, 육회, 생선초밥","골수이식 직후에는 멸균식(sterile diet)을 하도록 합니다.1. 동물성식품을 익혀서 섭취합니다.2. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다.3. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다.4. 조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다.5. 조리전, 식사전에 손을 깨끗이 씻도록 합니다.6. 가공식품은 유통기한을 확인하도록 합니다."
