질병명,식사요법의 필요성,식사요법의 실제,권장 식품,주의 식품,그 외 주의사항
급성/만성 위염식,위염으로 인한 급/만성 증상으로 식사 섭취에 제한을 받을 수 있습니다.,"1. 급성 위염에는 1-2일 정도 금식하고 차츰 미음, 죽식, 일반식으로 이행합니다.2. 소화가 쉽고 자극이 적은 음식을 소량씩 자주 나눠 섭취하도록 합니다.3. 만성 위염에는 골고루 섭취하며 천천히 잘 씹고 과식하지 않으며 규칙적으로 식사하는 것이 필요합니다.","부드럽게 조리된 단백질 식품(살코기, 흰살생선, 계란찜 등)","진한 육즙, 자극성이 강한 조미료, 커피, 술, 신음식, 탄산음료","중노년층에 자주 나타나는 무산성 위염은 위산의 분비를 촉진하기 위해 어느정도 자극성이 있는 무즙, 파, 마늘, 생강 등을 양념으로 적당히 사용하거나 식사 전 유자차나 레몬차, 주스, 요구르트 등을 마시는 것도 도움이 될 수 있습니다."
급만성 림프모구성백혈병식,골수 이식 직후에는 감염을 예방하기 위하여 익힌 음식 위주로 섭취하여 감염을 막고 빠른 회복을 도모하기 위해 균형잡힌 고른 식품섭취를 하도록 합니다.,"1. 곡류, 어육류, 채소류, 과일류, 유제품류를 고루 섭취합니다.2. 식사량이 부족한 경우 의사의 처방에 의해 관급식이나 정맥영양을 통해 영양보충을 계획할 수 있습니다.3. 식사량이 부족하면 간식을 포함하여 소량씩 자주 섭취합니다.4. 매끼 양질의 어육류나 두부, 계란 등을 섭취합니다.5. 고기나 생선은 반드시 익혀서 섭취하도록 합니다.","잘 익힌 생선이나 살코기, 잘 씻은 채소, 껍질은 벗긴 과일","익히지 않은 생선이나 고기, 생선회, 육회, 생선초밥","조혈모세포이식 직후에는 멸균식(sterile diet)을 하도록 합니다.1. 동물성 식품은 반드시 익혀서 섭취합니다.2. 야채는 익혀서, 과일은 세정 후 껍질을 벗겨서 섭취합니다.3. 시판제품 중 살균, 멸균 조리된 제품을 이용합니다.4. 조리된 식품은 2시간 이내에 냉장보관하며, 24시간내 먹도록 합니다.5. 조리 전, 식사 전에 손을 깨끗이 씻도록 합니다.6. 가공식품은 유통기한을 확인하도록 합니다."
궤양성대장염식,"질환 자체가 영양소의 소화흡수에 영향을 미치는 한편 칼로리, 단백질 및 미량 영양소의 요구량을 증가시켜 영양불량이 초래될 수 있습니다.  따라서 궤양성 대장염 환자에서 적절한 영양지원이 필요합니다.",1.  소량씩 잦은(하루 6회 이상)식사로 자극을 줄이면서 영양소의 흡수를 높이도록 합니다.2.  저잔사식사를 통해 대변의 양을 감소시킵니다.3.  설사로 인한 탈수를 방지하기 위해 충분한 수분섭취를 병행합니다.(kg당 30cc)4.  유당불내성이 있으면 우유나 유제품은 제한합니다.5.  중쇄중성지방(MCT oil)과 영양음료를 사용하여 부족되는 칼로리를 보충합니다.6.  증상과 개인 순응도에 따라 점차 일반식사로 이행합니다.,,개인적으로 불편감을 초래하는 식품,"약물 사용에 따른 영양소의 상호작용을 고려해야합니다.1. 코티코스테로이드(Corticosteroids) : 칼슘, 단백질 흡수저해2. 설파살라진(Sulfasalazine) : 엽산 흡수저해3. 콜레스티라민(Cholestyramine) : 지방, 비타민 흡수저해"
구토식,환자의 상태에 따라 섭취가 용이한 음식으로 영양요구량을 충족시켜야 합니다.,"1. 메스꺼움의 완화. 메스꺼움을 유발하는 특정 식품과 냄새를 확인하고 피합니다.. 소화가 용이한 음식을 소량씩 자주 제공하며 천천히 섭취하도록 합니다.. 고지방 음식이나 향신료가 강한 음식은 삼가합니다.. 냄새가 없고 마르고 찬 음식을 활용합니다.. 가능하면 환자 본인이 음식을 조리하지 않도록 합니다.. 일정한 시간에 메스꺼움이 반복되면 식사 시간을 재 조정합니다.2. 구토. 구토가 조절되기 전에는 먹지 않도록 하고, 구토가 멈추면 10분 마다 물을 1스푼씩 먹으며 차츰 늘려 가고 적응이 되면 우유, 요구르트, 주스, 고단백음료 등을 조금씩 추가 합니다.. 음료로 냉음료, 탄산음료 및 주스를 선택하여 마십니다.. 식사는 더운 음식은 피하고 찬 음식을 선택합니다.. 위배출을 지연시키는 튀김류 및 지방 함량이 높은 음식을 삼가합니다.. 소화가 용이한 음식을 소량씩 자주 제공하며 천천히 섭취하도록 합니다.. 토스트한 흰빵, 크래커, 아침식사용 시리얼 등을 활용합니다.","토스트, 시리얼, 샌드위치, 냉 과일 샐러드, 찬 고기요리, 크래커","강한 향미 채소류, 커피, 진한 양념 음식, 고지방식","1. 식후에 휴식을 취하되 눕지 마십시요.2. 식후에 느슨한 옷을 입고 신선한 공기를 마시면 좋습니다.3. 아침에 일어나기 전에 고탄수화물, 저지방 음식을 섭취합니다."
대장양성종양식,대장암 예방을 위한 건강한 식사 계획이 필요합니다.,"1. 채소, 과일, 잡곡 등 섬유소가 풍부한 식사를 합니다.2. 육류의 기름이나 가금류의 껍질, 버터 등의 포화지방이 많은 식품의 섭취를 줄입니다.3. 저지방 고칼슘 유제품을 섭취합니다.4. 정상체중을 유지합니다.5. 금주합니다.","신선한 채소와 과일, 유제품","기름진 붉은육류, 알코올, 가공식품","칼로리가 높은 식품 섭취를 줄이고, 조리 시에도 기름 사용이 적은 찜, 조림 등의 방법을 활용합니다."
대장암식,"일반적으로 대장암의 예방 또는 수술 후 재발방지를 위한 균형잡힌 식사를 유지합니다.특히 섬유소를 증가시키기 위해 잡곡, 채소, 과일의 섭취를 늘리고, 과체중이나 비만인 경우 체중조절이 필요합니다.","1. 정상체중 유지를 위해 과식하지 않습니다.2. 편식하지 말고 영양분을 골고루 균형되게 섭취합니다.3. 녹황색 채소와 과일을 통해 비타민, 무기질과 섬유소의 섭취를 증가시킵니다.4. 도정되지 않은 곡류식품을 섭취합니다.5. 육류 섭취 시에는 살코기를 선택합니다.6. 총 지방 섭취를 줄입니다.7. 저지방 유제품을 하루 식사계획에 포함시킵니다.8. 금주합니다.","신선한 채소와 과일, 유제품","기름진 붉은 육류, 알코올, 훈연(smoking), 소금에 절임 처리된 가공식품(햄, 소시지, 베이컨 등)","1. 대장암 수술 직후 약1-2달 간에는 고섬유식품 섭취를 줄이도록 합니다.2. 수술 부위, 장루의 유무에 따라 저잔사식과 같은 식사요법이 필요합니다."
대사증후군식,"대사증후군이란 복부비만, HDL-cholesterol, 혈압, 공복 시 혈당, 중성지방의 5가지 인자 중 3가지 이상의 장애가 있는 경우로 정의됩니다.인슐린 저항성이 가장 중요한 원인으로 최근 급격한 생활 수준의 향상으로 인해 과거 영양부족 문제보다는 영양과잉과 서구화된 식생활로 발생 빈도가 증가되고 있습니다. 대사증후군의 치료를 위해서는 운동과 함께 식사 조절이 반드시 필요하겠습니다.","1. 하루 3끼 식사를 거르지 않는 것이 좋습니다.2. 일정한 시간에 규칙적으로 식사하는 것이 좋습니다.3. 식사는 천천히 꼭꼭 씹어서 먹는 것이 좋습니다.4. 기름기 적은 음식을 위주로 섭취하는 것이 좋습니다.5. 음식은 짜지않게 섭취하는 것이 좋습니다.6. 인스턴트나 패스트푸드보다는 자연음식, 집에서 조리한 음식을 선택합니다.7. 후식, 음료 등의 단 음식은 주의합니다.8. 음식은 골고루 섭취하는 것이 좋습니다.9. 간식은 열량이 적게 나가는 것으로 선택하는 것이 좋습니다.10. 섬유소 많은 음식으로 물과 함께 충분히 섭취하는 것이 좋습니다.","신선한 채소를 비롯한 잡곡, 어육류, 생선, 두부, 견과류 그리고 제철 과일과 우유 등 균형잡힌 식사","고지방 음식염장 식품 : 김치류, 젓갈류, 장아찌류, 건어물 및 자반 생선류 등을 포함한 매우 짠 음식가공식품 :  햄류, 통조림류, 라면 등단 음식",건강하지 않은 식습관은 대사증후군의 주요 위험 요인입니다.복부 비만은 가장 대표적인 위험 요인이므로 적정 체중 유지하며 운동을 병행해야 합니다.야식은 절대 금해야하며 과량의 알코올 섭취는 지방으로 전환될 수 있으므로 금주하는 것이 좋습니다.
대사성산증식,"체내의 대사결과로서 생성되는 산에 의해 발생하는 증상으로 중증의 당뇨병, 기아, 알코올 중독에 의해 발생하게 되므로 원인질환에 맞는 적절한 식사가 필요하게 됩니다.",1. 균형잡힌 섭취를 합니다.2. 소량씩 자주 섭취합니다.4. 충분한 수분 섭취를 합니다.5. 알코올 섭취를 제한합니다.,"고기, 생선, 두부 등의 양질의 단백질 식품, 신선한 채소류, 과일류","과다한 알코올 섭취, 인스턴트 식품, 가공식품, 젓갈 등의 짠 음식",고른 영양섭취가 필요하므로 균형잡힌 식사를 하도록 합니다.
당원병식/당원축적병식,"당원축적병은 간이나 근육 조직에서 글리코겐이 비정상적으로 축적되어 일어나는 대사이상 질환으로 저혈당을 예방하고 간종대, 고지혈증, 고요산혈증, 골다공증 발생을 방지하기 위한 적절한 식사요법이 필요합니다.","1. 잦은 저혈당이 발생할 수 있으므로 낮동안은 전분함량이 높은 식사를 1.5~2.5시간 간격으로 소량씩 자주 식사하며 생옥수수 전분 요법과 병행합니다.2. 과일, 설탕, 우유 등 과당, 갈락토오스, 설탕 함유 식품은 제한합니다.3. 생옥수수 전분은 4~6시간 간격으로 하루 총 4~6회에 걸쳐 섭취합니다.4. 제 III형, 제 IV형 당원병은 글리코겐의 분해는 제한되나 당신생은 정상이기 때문에 저혈당 증세가 제I형 당원병보다 심하지 않습니다.","밥, 잡곡류, 소맥분, 타피오카, 마카로니, 귀리빵, 보리빵, 콩, 수수","생과일, 과일주스, 우유, 아이스크림, 사탕, 설탕, 시럽, 꿀, 일반 추잉껌, 코코아, 커피, 쿠키(포도당을 이용하지 않은 것), 케익(포도당을 이용하지 않은 것), 커스터드 또는 푸딩, 도넛, 설탕으로 코팅된 시리얼, 젤리, 밀크쉐이크, 파이, 청량음료, 차","옥수수 전분은 요리하거나 뜨거운 물 혹은 레몬에이드에 혼합하는 경우 전분입자가 파괴되어 아밀라아제에 의한 가수분해가 빨라져서 혈당을 유지하는 효과가 없어지므로 물, 두유, 플레인 요구르트 등 실온의 액체에 타서 먹도록 합니다."
당뇨병식,"당뇨병은 인슐린이 절대적, 상대적으로 부족하여 고혈당 및 각종대사 장애를 초래하는 질환으로 식사조절을 통해 혈당을 정상에 가깝도록 유지하고 합병증을 최소화하기 위하여 필요합니다.",1. 매끼 일정한 시간에 정해진 분량의 식사를 규칙적으로 섭취합니다.2. 하루 섭취량 안에서 6가지 식품을 골고루 섭취합니다.3. 정상체중을 유지합니다.4. 단당류의 섭취를 삼가합니다.5. 지방 및 콜레스테롤의 섭취량을 줄입니다.6. 섬유소가 풍부한 식사를 합니다.7. 규칙적인 운동을 합니다.8. 술은 되도록 삼가합니다.,"채소류, 열량이 적은 식품(곤약, 해조류, 버섯류, 우뭇가사리, 등)","당질함량이 많은 식품 ( 쵸코렛, 사탕, 탄산음료, 케잌 등)지방함량이 많은 음식(튀김, 전, 샐러드 드레싱, 지나친 견과류 섭취 등)성분이 불분명한 건강기능식품, 한약, 민간요법, 술 등","1. 식사 외 간식을 섭취하는 경우는 하루 섭취량 안에서 식사량을 조절합니다.2. 경구혈당강하제나 인슐린을 맞는 환자의 경우 저혈당에 대비해 사탕 등의 단순당을 지참합니다.3. 지나치게 짠 음식은 피하고, 싱겁게 조리합니다.4. 단맛을 원하는 경우 설탕대신 인공감미료를 사용할 수 있습니다.5. 외식 시 하루 섭취량 및 한끼 식사량을 고려해 개인 접시에 덜어 섭취합니다."
당뇨병성족부병식,균형잡힌 식사조절을 통해 혈당을 정상에 가깝도록 유지하여 족부에 생긴 상처 회복에 도움이 되도록 합니다.,1. 매끼 일정한 시간에 정해진 분량의 식사를 규칙적으로 섭취합니다.2. 하루 섭취량 안에서 6가지 식품을 골고루 섭취합니다.3. 정상체중을 유지합니다.4. 단당류의 섭취를 삼가합니다.5. 지방 및 콜레스테롤의 섭취량을 줄입니다.6. 섬유소가 풍부한 식사를 합니다.7. 술은 되도록 삼가합니다.,"1.상처 회복을 위한 고단백 식품2.넉넉한 채소 섭취3.열량이 적은 자유 식품(곤약, 해조류, 버섯류, 우뭇가사리, 등..)","1.당질함량이 많아 혈당을 급격히 올리는 식품 : 쵸코렛, 사탕, 탄산음료, 케잌, 청량음료수2.성분이 불분명한 건강기능식품, 한약, 민간요법 등..",1. 당뇨병성 신증 및 단백질 제한이 필요한 환자에게 당뇨병성 족부 질환이 발생되면 상처 회복이 우선이므로 회복기까지는 단백질 제한을 풀고 적당량의 단백질 식품을 섭취하다가 회복 후 예전의 식사(단백질 제한식사)로 변경합니다.2. 상처 회복을 위해 잘 드시라고하는 말이 간식 등을 많이 섭취하라는 얘기가 아니므로 하루 섭취량 안에서 균형잡힌 식사를 하도록 합니다.
담낭암식,"담낭염의 경우 고지방음식 섭취 후에 발생하는 복부팽만, 소화불량, 통증 등 증상을 예방하고, 손실된 영양을 보충하기 위해 적절한 식사요법이 필요합니다.","1. 정상체중을 벗어나지 않도록 표준체중을 유지합니다.2. 결석으로 인한 통증 발생 시에는 소량씩 자주 나누어 섭취합니다.3. 고지방 음식 섭취를 피합니다.4. 지방이 적은 살코기, 생선, 두부 등으로 단백질을 섭취합니다.5. 섬유질이 풍부한 신선한 채소, 과일, 잡곡, 해조류 등을 충분히 섭취합니다.6. 금주합니다.","쌀밥, 잡곡밥, 살코기(쇠고기, 돼지고기), 껍질 벗긴 닭고기, 생선, 두부, 콩, 각종 야채, 저지방 우유 등","도넛, 볶음밥, 라면, 케이크, 페스츄리, 갈비, 삼겹살, 기름이 많은 등심, 안심, 장어, 튀김류 등","지나친 지방 제한은 불필요하며, 필수지방산 섭취를 위하여 소량의 식물성 기름을 사용합니다."
단장증후군식,"소장의 상당 부분을 절제하여 영양소의 흡수기능이 저하됨으로써 흡수불량, 소화불량, 탈수, 영양불량을 예방하기 위해 식사요법이 필요합니다.","1. 장을 50% 이상 절제한 경우 평소의 1.5~2배를 섭취해야 체중유지가 가능합니다.2. 적절한 열량, 영양소를 공급하기 위해 균형잡힌 식사를 합니다.3. 적절한 단백질 반찬을 섭취합니다.4. 과다한 지방 섭취는 심한 설사를 유발할 수 있으므로 제한합니다.5. 찜, 조림, 구이, 삶기 등의 조리법을 이용합니다.6. 하루 5~6회로 나누어 소량씩 자주 섭취합니다.7. 카페인이나 술의 섭취는 수술 후 1년 정도는 피하도록 합니다.","연한 쇠고기, 돼지고기, 계란, 두부, 닭고기(껍질제외), 생선(껍질제외), 부드러운 야채, 사과, 복숭아, 수박, 과일 통조림, 무지방우유, 푸딩, 영양보충음료 등","잡곡류, 질긴 육류, 햄류, 조개류, 콩비지, 도라지, 고사리 등의 질긴 야채, 말린 나물, 설익은 과일, 감, 씨채 먹는 과일(딸기, 키위 등), 말린 과일, 해조류, 견과류 등","증상에 따라 식사요법이 달라질 수 있습니다.초기 설사가 안정되면 물이나 음료를 통해 장의 적응을 촉진하도록 하고 적응 상태에 따라 미음, 죽 식사로 진행합니다."
다발성골수종식,진단 이후 치료를 받기위해 충분한 영양공급을 통해 암 치료를 돕고 부작용을 최소화 하기위해 식사요법이 필요합니다.,"암을 치료하는 특별한 식품이나 영양소는 없으며 균형잡힌 식사로 좋은 영양상태를 유지하는것이 중요합니다. 그러기 위해서는 충분한 에너지와 단백질, 비타민 및 무기질을 공급할 수 있는 식사를 섭취해야 하며, 이는 여러가지 음식을 골고루 먹음으로써 가능합니다.암환자의 일반적인 식사지침1. 아침, 점심, 저녁을 규칙적으로 섭취하고 반찬은 골고루 먹습니다.2. 매끼 단백질 반찬을 꼭 먹습니다.(고기, 생선이 싫다면 대신 달걀, 두부, 콩, 치즈 등을 섭취)3. 채소반찬은 매끼 2가지 이상 충분히 먹습니다.(씹기 힘든 경우나 삼키기 힘든 경우에는 다지거나 갈아서 섭취)4. 과일은 하루 1~2번, 1가지 이상 먹습니다.(면역력이 저하된 경우 잘 씻어 껍질을 제거하거나 통조림,주스로 섭취)5. 유제품을 하루 1컵 마십니다.(우유가 맞지 않을 경우에는 요쿠르트, 두유, 치즈, 아이스크림으로 대체)6. 밥은 매끼 1그릇 정도 먹습니다.(밥 섭취가 어려울경우 죽, 빵, 크래커, 떡, 감자, 고구마, 국수, 미숫가루 등으로 대체하며, 밥 섭취량이 적을 경우에는 간식으로 보충)7. 열량보충이 필요하다면 식물성 기름을 충분히 사용합니다.8. 양념과 조미료는 적당히 사용합니다.","잡곡, 견과류, 두류, 다양한 색의 채소 및 과일류","술, 비위생적인 식품, 가공식품, 건강보조식품, 성분이 모호한 민간요법 식품","다발성골수종 질환 자체의 영향으로 고칼슘혈증, 신기능장애, 빈혈 등의 증상이 동반이 될수 있습니다. 환자에게 동반되는 증상과 치료상태에 따라 식사요법의 원칙이 달라질수 있으므로 의료진, 영양전문가와 상의하여 식사처방을 받도록 합니다.항암치료 중에 항암제와 상호작용을 일으키거나 부작용을 유발할 수 있는 건강보조식품, 한약 등의 복용은 피하는 것이 좋습니다."
복막염식,"치료 전까지는 금식하고, 금식기간이 지난 후에는 충분한 영양을 보충하여야 한다.","1. 식사량은 조금씩 증가시키며, 한꺼번에 많은 양을 먹지 않도록 합니다.2. 처음엔 유동식 형태로 시작하여, 연식, 일반식으로 진행합니다.3. 소화가 잘 되는 식품을 선택하여 부드럽게 조리합니다.4. 장을 자극하는 섬유질이나 장 내 발효성 식품을 제한합니다.5. 충분한 열량과 단백질, 비타민, 무기질을 공급합니다.","부드럽게 조리한 육류 및 생선류,  섬유질이 적은 채소, 연한 과일 및 주스","식사 초기에 섬유질이 많은 채소, 우유 및 유제품, 커피, 술, 향신료, 탄산음료",1. 환자의 적응도에 따라 식사를 진행시킵니다.2. 영양 공급이 충분하지 못하면 영양음료를 사용합니다.
변비식,충분한 섬유소와 수분섭취로 변비를 예방합니다.,"1. 규칙적으로 식사합니다.2. 도정되지 않은 전곡류의 섭취를 늘립니다.3. 채소, 해조류를 충분히 섭취합니다.4. 통조림, 주스보다 생과일 섭취를 늘립니다.5. 섬유소의 효과적 흡수를 위해 하루 6-8잔 정도의 물을 충분히 마십니다.6. 우유 및 발효 유제품을 섭취합니다.","보리, 현미 등의 잡곡류, 고구마, 통밀빵, 모든 채소, 말린 나물류, 생과일, 미역, 김, 다시마, 건자두(푸룬), 발효유 등","감, 쑥 등 탄닌이 많은 식품",1. 섬유소 섭취가 갑자기 증가하면 위장장애를 일으킬 수 있기 때문에 소량씩 점진적으로 증가시키도록 합니다.2. 하루 25~50g정도의 섬유소 섭취량이 적절합니다.
바이러스성 간염식,"충분한 에너지와 단백질을 공급하여 영양 상태를 개선하고 손상된 간세포를 재생시켜 간혈류를 개선, 간기능을 회복시킵니다.","1. 회복을 위해 충분한 에너지 섭취가 필요하므로 당질과 지방을 통해 에너지 섭취를 늘립니다. 식사량이 적을 시에는 감자, 고구마 , 과일, 주스 등의 간식을 자주 먹습니다.2. 고기, 생선, 두부, 계란 등의 단백질 반찬을 충분하게 먹습니다.3. 부족한 비타민 및 무기질 보충을 위해 채소와 과일을 충분하게 먹습니다.","밥, 떡, 감자, 고구마, 과일, 야채, 단백질 식품( 살코기, 생선, 계란, 두부, 콩 등 )",,녹즙 등 고농축 음식이나 민간요법은 간기능을 약화 시킬 수 있으므로 주의합니다.
말기신질환식,"신장기능이 떨어지면 노폐물 제거와 전해질 균형이 제대로 이루어지지 않기 때분에 섭취하는 음식의 종류와 양을 조절할 필요가 있습니다.  좋은 영양상태를 유지하는 것이 목표이므로 체조직의 분해를 예방하기 위한 충분한 열량 섭취와 요독증을 줄이기 위한 적절한 단백질 섭취가 필수입니다.  또한 부종과 고혈압 조절을 위한 염분제한이 필요하며, 전해질 불균형이 악화되는 것을 막기 위해 포타슘, 인 섭취 조절이 필요할 수도 있습니다.",1. 단백질 섭취를 제한합니다.2. 충분한 열량을 섭취합니다.3. 싱겁게 먹습니다.4. 포타슘(칼륨)섭취를 줄입니다.5. 인 섭취를 줄입니다.,"1. 단백질 제한으로 인한 열량 부족을 보충하기 위해 음식 요리 시 올리브유, 들기름, 카놀라유 등의 기름과 설탕, 올리고당 등 당류를 충분히 사용할 것을 권장합니다.2. 싱겁게 드셔야 하므로, 소금, 간장, 된장 등 사용량을 줄이고 고추가루, 후추가루, 겨자가루, 식초 등의 향신료를 사용합니다.3. 외식 시는 염분 조절이 어렵지만 스스로 소스나 양념양을 조절할 수 있는 비빔밥, 덮밥 등을 권장하고 가급적 국물, 소스, 김치 섭취를 줄입니다.","1. 염분이 과다한 식품 : 염장식품(장아찌, 젓갈), 김치, 라면, 건어물, 찌개국물 등2. 인이 과다한 식품 : 우유, 요구르트, 치즈, 잡곡, 견과류 등3. 포타슘이 과다한 식품 : 현미, 흑미, 팥등의 잡곡, 시금치, 늙은 호박, 미나리, 시래기, 바나나, 토마토, 키위, 참외 등",1. 단백질 섭취를 줄이는게 도움이 되지만 너무 줄이면 체조직이 분해되어 좋지 않으므로 전문가의 처방에 따라 적절한 단백질(식품)을 섭취합니다.2. 식사양이 줄어 열량 섭취가 줄면 체조직이 분해되어 체중이 감소하고 노폐물이 쌓이게 되므로 밥 1공기 정도의 충분한 식사량을 유지합니다.
만성피로증후군식,"피로를 유발하는 원인 질환을 정확히 파악하고, 피로에 대한 기능적, 정서적인 적절한 대처와 균형잡힌 영양공급이 요구됩니다.",1. 균형잡힌 식사를 합니다.2. 비타민과 미네랄이 풍부한 과일과 야채를 충분히 섭취합니다.3. 과식은 피하고 규칙적으로 식사합니다.4. 적절한 체중을 유지합니다.,"신선한과일, 야채,저지방 고단백식품(두부,살코기, 흰살생선등)복합탄수화물(밥, 빵, 떡, 감자,고구마등)","카페인, 니코틴, 알코올, 설탕, 아스파탐",1. 특정 음식에 대한 과민 반응이 있을 경우 제한 합니다.2. 규칙적인 운동을 합니다.3. 충분한 수면을 취합니다.
만성폐쇄성폐질환식,정상체중을 유지하고 체중감소를 방지하기 위한 적절한 식사량을 유지함으로써 호흡근육의 소모를 막고 적절한 영양상태를 유지하는 것이 중요합니다.,"1. 식품 섭취를 골고루 합니다.2. 매끼니 살코기나 생선, 두부, 계란 등을 챙겨서 섭취합니다.3. 식사를 소량씩 나누어 천천히 식사하도록 합니다.4. 식사 중간에 국물이나 수분 섭취는 과다하게 하지 않도록 합니다.5. 지나치게 기름지거나 가스를 형성하는 식품의 섭취는 삼가합니다.","기름기를 제거한 살코기, 생선, 껍질 벗긴 과일","가스형성식품 : 탄산음료, 함황채소(브로커리, 양배추)기름진 식품 : 튀김류",1. 식사 전 30분간은 휴식합니다.2. 식사 중 피로감이 유발되면 잘게 자르거나 갈아서 섭취하도록 합니다.
